amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
000-4883533-8385808	000-4883533-8385808	2024-01-30T15:49:49+00:00	2024-01-30T22:51:27+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	69.66	4.18							FALLS CHURCH	VA	22046-2718	US		FALSE			FALSE
003-0032234-0555432	003-0032234-0555432	2024-01-30T01:57:45+00:00	2024-01-30T15:19:37+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	105.99	4.64							NEW ROCHELLE	NY	10804-1921	US		FALSE			FALSE
002-3605350-3229853	002-3605350-3229853	2024-01-29T15:06:02+00:00	2024-01-30T07:23:01+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	64.01								BROOKLYN	NY	11215-6786	US		FALSE			FALSE
003-2334230-6006263	003-2334230-6006263	2024-01-29T12:33:03+00:00	2024-02-13T18:13:22+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	84.89								HELENA	MT	59602-6011	US		FALSE			FALSE
000-5603085-0304254	000-5603085-0304254	2024-01-29T02:38:10+00:00	2024-01-29T19:35:51+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	49.99	5.12							CHICAGO	IL	60622-1005	US		FALSE			FALSE
002-9282395-9660824	002-9282395-9660824	2024-01-29T00:55:59+00:00	2024-01-29T22:17:28+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	270.7	11.44							WILDWOOD	MO	63005-4267	US		FALSE			FALSE
003-6455000-3883403	003-6455000-3883403	2024-01-29T00:53:47+00:00	2024-01-30T20:13:37+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	82.69	4.05							BEAVER CREEK	CO	81620-5403	US		FALSE			FALSE
000-0099096-6452255	000-0099096-6452255	2024-01-28T21:40:41+00:00	2024-01-29T09:49:14+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	250	20.63							AUSTIN	TX	78702-1431	US		FALSE			FALSE
004-9888323-2602624	004-9888323-2602624	2024-01-28T20:12:57+00:00	2024-01-31T06:01:00+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	75.63								BROOKLYN	NY	11209-6711	US		FALSE			FALSE
004-9888323-2602624	004-9888323-2602624	2024-01-28T20:12:57+00:00	2024-01-31T06:01:00+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	68.35								BROOKLYN	NY	11209-6711	US		FALSE			FALSE
002-0880359-5455400	002-0880359-5455400	2024-01-28T18:47:12+00:00	2024-01-31T02:11:16+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	27.95	1.43							MONUMENT	CO	80132-9066	US		FALSE			FALSE
003-8689880-6003450	003-8689880-6003450	2024-01-28T17:50:36+00:00	2024-01-29T08:59:23+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	95.53								CONCORD	MA	01742-2739	US		FALSE			FALSE
000-5526394-4900800	000-5526394-4900800	2024-01-28T13:38:28+00:00	2024-01-29T06:18:23+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	29.95								CLIFTON	NJ	07013-3710	US		FALSE			FALSE
002-5624903-2354652	002-5624903-2354652	2024-01-28T13:24:30+00:00	2024-01-29T04:20:24+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	75.63	6.24							HOUSTON	TX	77059-5006	US		FALSE			FALSE
003-3995538-3028246	003-3995538-3028246	2024-01-28T07:29:12+00:00	2024-01-31T19:23:59+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	298	26.08							CHULA VISTA	CA	91913-1418	US		FALSE			FALSE
002-0900833-4036245	002-0900833-4036245	2024-01-28T01:21:52+00:00	2024-01-28T10:20:23+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	77.16								BROOKLYN	NY	11215-6786	US		FALSE			FALSE
000-0843684-0260203	000-0843684-0260203	2024-01-26T17:23:50+00:00	2024-01-27T17:25:07+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	27.95	2.34							LAS VEGAS	NV	89122-5419	US		FALSE			FALSE
000-4834803-9490444	000-4834803-9490444	2024-01-26T14:29:17+00:00	2024-01-27T16:23:12+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	69.66	4.18							Shelby Twp	Michigan	48316	US		FALSE			FALSE
